	date	Hprum	SCE	SNO	SVH	SRA	SSV	Tprum	T05prum	Fprum	Fmax	Dprum
1	12/31/1960	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
2	1/1/1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
3	1/2/1961	NA	0	3	NA	2.4	NA	NA	NA	NA	NA	NA
4	1/3/1961	NA	3	0	NA	1.1	NA	NA	NA	NA	NA	NA
5	1/4/1961	NA	3	1	NA	1	NA	NA	NA	NA	NA	NA
6	1/5/1961	NA	4	3	NA	1.5	NA	NA	NA	NA	NA	NA
7	1/6/1961	NA	7	13	NA	10.4	NA	NA	NA	NA	NA	NA
8	1/7/1961	NA	20	5	NA	5.7	NA	NA	NA	NA	NA	NA
9	1/8/1961	NA	25	3	NA	4.2	NA	NA	NA	NA	NA	NA
10	1/9/1961	NA	27	0	NA	0	NA	NA	NA	NA	NA	NA
11	1/10/1961	NA	27	2	NA	1.6	NA	NA	NA	NA	NA	NA
12	1/11/1961	NA	29	0	NA	0	NA	NA	NA	NA	NA	NA
13	1/12/1961	NA	29	0	NA	0	NA	NA	NA	NA	NA	NA
14	1/13/1961	NA	29	3	NA	3.4	NA	NA	NA	NA	NA	NA
15	1/14/1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
16	1/15/1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
17	1/16/1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
18	1/17/1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
19	1/18/1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
20	1/19/1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
21	1/20/1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
22	1/21/1961	NA	30	2	NA	3.1	NA	NA	NA	NA	NA	NA
23	1/22/1961	NA	31	1	NA	1	NA	NA	NA	NA	NA	NA
24	1/23/1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
25	1/24/1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
26	1/25/1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
27	1/26/1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
28	1/27/1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
29	1/28/1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
30	1/29/1961	NA	31	3	NA	13.4	NA	NA	NA	NA	NA	NA
