Date F Station_F SCE Station_SCE SNO Station_SNO SSV Station_SSV SRA Station_SRA Tair Tair_note T_grad H H_note Station_H Rain_Tw Rain_Ta D_mean_ok Station_D SWE SWE_note
1962-10-01 1.7 H1VITK01 0 H1LBOU01 0 H1LBOU01 10.1 H1VITK01 0 H1VITK01 9.62244897959184 Calculated -0.136054421768707 83.52 Calculated H1VITK01 0 0 200 H1VITK01 NA NoData
1962-10-02 1.7 H1VITK01 0 H1LBOU01 0 H1LBOU01 10.5 H1VITK01 0 H1VITK01 11.0510204081633 Calculated 0.054421768707483 79.12 Calculated H1VITK01 0 0 163.105204803654 H1VITK01 NA NoData
1962-10-03 1.7 H1VITK01 0 H1LBOU01 0 H1LBOU01 9.7 H1VITK01 0 H1VITK01 10.7979591836735 Calculated -0.108843537414966 82.64 Calculated H1VITK01 0 0 186.917511165965 H1VITK01 NA NoData
1962-10-04 1.3 H1VITK01 0 H1LBOU01 0 H1LBOU01 7 H1VITK01 0 H1VITK01 11.1877551020408 Calculated 0.0136054421768707 83.52 Calculated H1VITK01 0 0 360 H1VITK01 NA NoData
1962-10-05 4 H1VITK01 0 H1LBOU01 0 H1LBOU01 2.7 H1VITK01 7.2 H1VITK01 7.86530612244898 Calculated -0.517006802721088 86.16 Calculated H1VITK01 7.2 7.2 343.83511987299 H1VITK01 NA NoData
1962-10-06 12 H1VITK01 0 H1LBOU01 0 H1LBOU01 0 H1VITK01 6.3 H1VITK01 3.7 Calculated -0.666666666666667 90.56 Calculated H1VITK01 6.3 6.3 20 H1VITK01 NA NoData
1962-10-07 8 H1VITK01 0 H1LBOU01 0 H1LBOU01 0 H1VITK01 0.2 H1VITK01 5.37551020408163 Calculated -0.639455782312925 90.56 Calculated H1VITK01 0.2 0.2 40 H1VITK01 NA NoData
1962-10-08 4 H1VITK01 0 H1LBOU01 0 H1LBOU01 10.1 H1VITK01 0 H1VITK01 8.75102040816327 Calculated 0.054421768707483 81.76 Calculated H1VITK01 0 0 116.636272588377 H1VITK01 NA NoData
1962-10-09 1.3 H1VITK01 0 H1LBOU01 0 H1LBOU01 10.5 H1VITK01 0 H1VITK01 9.81836734693877 Calculated 0.312925170068027 81.76 Calculated H1VITK01 0 0 102.396159523445 H1VITK01 NA NoData
1962-10-10 2.3 H1VITK01 0 H1LBOU01 0 H1LBOU01 9.5 H1VITK01 0 H1VITK01 9.76938775510204 Calculated 0.36734693877551 79.12 Calculated H1VITK01 0 0 165.321702540182 H1VITK01 NA NoData
1962-10-11 0 H1VITK01 0 H1LBOU01 0 H1LBOU01 10.3 H1VITK01 0 H1VITK01 8.60408163265306 Calculated 0.217687074829932 79.12 Calculated H1VITK01 0 0 0 H1VITK01 NA NoData
1962-10-12 0.7 H1VITK01 0 H1LBOU01 0 H1LBOU01 10 H1VITK01 0 H1VITK01 7.74489795918367 Calculated 0.394557823129252 86.16 Calculated H1VITK01 0 0 275.23683351723 H1VITK01 NA NoData
1962-10-13 3.7 H1VITK01 0 H1LBOU01 0 H1LBOU01 8.6 H1VITK01 0 H1VITK01 6.87142857142857 Calculated -0.19047619047619 83.52 Calculated H1VITK01 0 0 156.77728432663 H1VITK01 NA NoData
1962-10-14 2.7 H1VITK01 0 H1LBOU01 0 H1LBOU01 4.3 H1VITK01 1.6 H1VITK01 2.10612244897959 Calculated -0.340136054421769 97.6 Calculated H1VITK01 1.6 1.6 6.91751116596501 H1VITK01 NA NoData
1962-10-15 1.3 H1VITK01 0 H1LBOU01 0 H1LBOU01 0.4 H1VITK01 1 H1VITK01 -0.0612244897959187 Calculated -0.598639455782313 95.84 Calculated H1VITK01 0 0 20 H1VITK01 NA NoData
1962-10-16 1.3 H1VITK01 0 H1LBOU01 0 H1LBOU01 3.8 H1VITK01 0 H1VITK01 1.71836734693878 Calculated -0.353741496598639 88.8 Calculated H1VITK01 0 0 284.678297459817 H1VITK01 NA NoData
1962-10-17 2 H1VITK01 0 H1LBOU01 0 H1LBOU01 0 H1VITK01 0 H1VITK01 2.26530612244898 Calculated -0.517006802721088 97.6 Calculated H1VITK01 0 0 325.321702540182 H1VITK01 NA NoData
