	date	ranking	season	locality	exposure	day	month	year	cadastr_number	cadastr_letter	A	A-A	B	C	D	E	F	G	H	J	K	Kmax	L	M	Mmax	N	O	notes	event	event_text
379	13.01.1962	1	61/62	DD	JZ	13	1	1962	11	NA	3		1	1	7	2	4	1	1	1	0.6	NA	100	50	NA	400	3	NA	1	Aval
403	05.02.1962	2	61/62	OD	JV	5	2	1962	3	NA	3		1	1	7	2	3	1	1	1	1	NA	150	150	NA	500	2	NA	1	Aval
404	05.02.1962	3	61/62	OD	V	5	2	1962	4	NA	3		1	1	1	2	2	1	1	1	1	NA	100	100	NA	400	2	NA	1	Aval
405	05.02.1962	4	61/62	OD	V	5	2	1962	5	NA	3		1	1	7	2	4	1	1	1	0.5	NA	150	40	NA	700	3	NA	1	Aval
439	10.03.1962	5	61/62	OD	JV	10	3	1962	6	NA	4		1	1	1	2	3	1	1	1	1	NA	100	100	NA	1250	1.5	NA	1	Aval
442	12.03.1962	6	61/62	OD	JV	12	3	1962	3	NA	6		1	1	7	2	3	7	1	1	1	NA	100	150	NA	750	1	NA	1	Aval
443	12.03.1962	7	61/62	OD	V	12	3	1962	4	NA	5		1	1	1	2	2	7	1	1	0.8	NA	80	80	NA	350	1	NA	1	Aval
444	12.03.1962	8	61/62	OD	V	12	3	1962	5	NA	5		1	1	7	2	4	1	1	1	1	NA	120	40	NA	500	3	NA	1	Aval
445	12.03.1962	9	61/62	OD	JV	12	3	1962	7	NA	5		1	1	1	2	3	1	1	1	1.5	NA	200	150	NA	600	1.5	NA	1	Aval
446	12.03.1962	10	61/62	BL	SV	12	3	1962	18	NA	3		1	1	7	2	2	1	1	1	0.8	NA	150	100	NA	400	3	NA	1	Aval
450	15.03.1962	11	61/62	OD	JV	15	3	1962	6	A	1		2	7	2	2	4	7	1	1	0.3	NA	30	60	NA	450	2	NA	1	Aval
453	17.03.1962	12	61/62	OD	JV	17	3	1962	6	B	1		2	7	2	2	4	7	1	1	0.4	NA	30	50	NA	400	3	NA	1	Aval
454	17.03.1962	13	61/62	LD	JZ	17	3	1962	25	NA	1		1	1	2	2	3	1	1	1	NA	NA	50	20	NA	250	3	NA	1	Aval
456	18.03.1962	14	61/62	LD	V	18	3	1962	29	NA	1		1	7	1	2	3	7	1	1	1	NA	150	100	NA	400	2	NA	1	Aval
464	25.03.1962	15	61/62	KJ	JV	25	3	1962	36	NA	3		8	7	1	2	1	7	2	1	1	NA	100	80	NA	450	2	NA	1	Aval
790	13.02.1963	16	62/63	OD	V	13	2	1963	5	NA	4		1	1	7	2	2	1	1	1	1	NA	140	30	NA	500	3	NA	1	Aval
792	14.02.1963	17	62/63	OD	JV	14	2	1963	3	NA	4		1	1	7	2	1	1	2	1	0.8	NA	170	180	NA	900	1	NA	1	Aval
817	10.03.1963	18	62/63	KJ	JV	10	3	1963	36	NA	5		1	1	1	2	2	1	1	1	0.8	NA	100	80	NA	300	2	NA	1	Aval
