date	Hprum	SCE	SNO	SVH	SRA	SSV	Tprum	T05prum	Fprum	Fmax	Dprum
31.12.1960	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
01.01.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
02.01.1961	NA	0	3	NA	2.4	NA	NA	NA	NA	NA	NA
03.01.1961	NA	3	0	NA	1.1	NA	NA	NA	NA	NA	NA
04.01.1961	NA	3	1	NA	1	NA	NA	NA	NA	NA	NA
05.01.1961	NA	4	3	NA	1.5	NA	NA	NA	NA	NA	NA
06.01.1961	NA	7	13	NA	10.4	NA	NA	NA	NA	NA	NA
07.01.1961	NA	20	5	NA	5.7	NA	NA	NA	NA	NA	NA
08.01.1961	NA	25	3	NA	4.2	NA	NA	NA	NA	NA	NA
09.01.1961	NA	27	0	NA	0	NA	NA	NA	NA	NA	NA
10.01.1961	NA	27	2	NA	1.6	NA	NA	NA	NA	NA	NA
11.01.1961	NA	29	0	NA	0	NA	NA	NA	NA	NA	NA
12.01.1961	NA	29	0	NA	0	NA	NA	NA	NA	NA	NA
13.01.1961	NA	29	3	NA	3.4	NA	NA	NA	NA	NA	NA
14.01.1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
15.01.1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
16.01.1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
17.01.1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
18.01.1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
19.01.1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
20.01.1961	NA	32	0	NA	0	NA	NA	NA	NA	NA	NA
21.01.1961	NA	30	2	NA	3.1	NA	NA	NA	NA	NA	NA
22.01.1961	NA	31	1	NA	1	NA	NA	NA	NA	NA	NA
23.01.1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
24.01.1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
25.01.1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
26.01.1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
27.01.1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
28.01.1961	NA	31	0	NA	0	NA	NA	NA	NA	NA	NA
29.01.1961	NA	31	3	NA	13.4	NA	NA	NA	NA	NA	NA
30.01.1961	NA	31	0	NA	26.6	NA	NA	NA	NA	NA	NA
31.01.1961	NA	NA	NA	NA	10.3	NA	NA	NA	NA	NA	NA
01.02.1961	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	NA
02.02.1961	NA	NA	NA	NA	1	NA	NA	NA	NA	NA	NA
03.02.1961	NA	NA	NA	NA	1.6	NA	NA	NA	NA	NA	NA
04.02.1961	NA	NA	NA	NA	9.8	NA	NA	NA	NA	NA	NA
05.02.1961	NA	NA	NA	NA	4.5	NA	NA	NA	NA	NA	NA
06.02.1961	NA	NA	NA	NA	8.3	NA	NA	NA	NA	NA	NA
07.02.1961	NA	NA	NA	NA	8.2	NA	NA	NA	NA	NA	NA
08.02.1961	NA	NA	NA	NA	30.2	NA	NA	NA	NA	NA	NA
09.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
10.02.1961	NA	NA	NA	NA	13.2	NA	NA	NA	NA	NA	NA
11.02.1961	NA	NA	NA	NA	1.8	NA	NA	NA	NA	NA	NA
12.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
13.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
14.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
15.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
16.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
17.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
18.02.1961	NA	NA	NA	NA	0.8	NA	NA	NA	NA	NA	NA
19.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
20.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
21.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
22.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
23.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
24.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
25.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
26.02.1961	NA	NA	NA	NA	5.2	NA	NA	NA	NA	NA	NA
27.02.1961	NA	NA	NA	NA	3.1	NA	NA	NA	NA	NA	NA
28.02.1961	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA
01.03.1961	NA	NA	NA	NA	1.2	NA	NA	NA	NA	NA	NA
02.03.1961	NA	NA	0	NA	0.8	NA	NA	NA	NA	NA	NA
03.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
04.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
05.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
06.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
07.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
08.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
09.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
10.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
11.03.1961	NA	0	0	NA	7.8	NA	NA	NA	NA	NA	NA
12.03.1961	NA	0	0	NA	3.5	NA	NA	NA	NA	NA	NA
13.03.1961	NA	0	0	NA	1.6	NA	NA	NA	NA	NA	NA
14.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
15.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
16.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
17.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
18.03.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
19.03.1961	NA	0	20	NA	15.8	NA	NA	NA	NA	NA	NA
20.03.1961	NA	20	17	NA	12.6	NA	NA	NA	NA	NA	NA
21.03.1961	NA	37	10	NA	7.7	NA	NA	NA	NA	NA	NA
22.03.1961	NA	47	0	NA	1	NA	NA	NA	NA	NA	NA
23.03.1961	NA	40	0	NA	0.4	NA	NA	NA	NA	NA	NA
24.03.1961	NA	30	0	NA	0	NA	NA	NA	NA	NA	NA
25.03.1961	NA	20	0	NA	0	NA	NA	NA	NA	NA	NA
26.03.1961	NA	10	7	NA	4.3	NA	NA	NA	NA	NA	NA
27.03.1961	NA	17	18	NA	14.7	NA	NA	NA	NA	NA	NA
28.03.1961	NA	35	0	NA	10.2	NA	NA	NA	NA	NA	NA
29.03.1961	NA	35	0	NA	34.2	NA	NA	NA	NA	NA	NA
30.03.1961	NA	10	0	NA	0	NA	NA	NA	NA	NA	NA
31.03.1961	NA	8	0	NA	24.2	NA	NA	NA	NA	NA	NA
01.04.1961	NA	8	0	NA	28.1	NA	NA	NA	NA	NA	NA
02.04.1961	NA	8	0	NA	6	NA	NA	NA	NA	NA	NA
03.04.1961	NA	0	0	NA	3.7	NA	NA	NA	NA	NA	NA
04.04.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
05.04.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
06.04.1961	NA	0	0	NA	3.2	NA	NA	NA	NA	NA	NA
07.04.1961	NA	0	0	NA	2.3	NA	NA	NA	NA	NA	NA
08.04.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
09.04.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
10.04.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
11.04.1961	NA	0	0	NA	0	NA	NA	NA	NA	NA	NA
