Date F Station_F SCE Station_SCE SNO Station_SNO SSV Station_SSV SRA Station_SRA Tair Tair_note T_grad H H_note Station_H Rain_Tw Rain_Ta
1961-01-01 NA NA 0 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-02 NA NA 0 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-03 NA NA 0 H1LBOU01 3 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-04 NA NA 3 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-05 NA NA 3 H1LBOU01 1 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-06 NA NA 4 H1LBOU01 3 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-07 NA NA 7 H1LBOU01 13 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-08 NA NA 20 H1LBOU01 5 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-09 NA NA 25 H1LBOU01 3 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-10 NA NA 27 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-11 NA NA 27 H1LBOU01 2 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-12 NA NA 29 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-13 NA NA 29 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-14 NA NA 29 H1LBOU01 3 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-15 NA NA 32 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-16 NA NA 32 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-17 NA NA 32 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-18 NA NA 32 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-19 NA NA 32 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-20 NA NA 32 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-21 NA NA 32 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-22 NA NA 30 H1LBOU01 2 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-23 NA NA 31 H1LBOU01 1 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-24 NA NA 31 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-25 NA NA 31 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-26 NA NA 31 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-27 NA NA 31 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-28 NA NA 31 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-29 NA NA 31 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-30 NA NA 31 H1LBOU01 3 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-01-31 NA NA 31 H1LBOU01 0 H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-01 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-02 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-03 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-04 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-05 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-06 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-07 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-08 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-09 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-10 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-11 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-12 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-13 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-14 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-15 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
1961-02-16 NA NA NA H1LBOU01 NA H1LBOU01 NA NA NA NA NA NA NA NA NA NA NA NA
